Blender 4.5.12 LTS (hash 84afd5f785f7 built 2026-07-21 01:33:53)
Read blend: "C:\Users\xdrhh\Documents\Codex\2026-09-18\codex-blender-mcp-blender-python-3d\outputs\Jiangnan.blend"
警告: 库文件, 加载空场景
帧:80 内存:353.42M (峰值 353.42M) | 时间:00:00.30 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.028
帧:80 内存:353.51M (峰值 353.51M) | 时间:00:00.30 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.029
帧:80 内存:353.60M (峰值 353.60M) | 时间:00:00.30 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.030
帧:80 内存:353.69M (峰值 353.69M) | 时间:00:00.30 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.031
帧:80 内存:353.79M (峰值 353.79M) | 时间:00:00.30 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.032
帧:80 内存:353.88M (峰值 353.88M) | 时间:00:00.30 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.033
帧:80 内存:353.97M (峰值 353.97M) | 时间:00:00.30 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.034
帧:80 内存:354.06M (峰值 354.06M) | 时间:00:00.30 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.035
帧:80 内存:354.15M (峰值 354.15M) | 时间:00:00.30 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.036
帧:80 内存:354.24M (峰值 354.24M) | 时间:00:00.30 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.037
帧:80 内存:354.33M (峰值 354.33M) | 时间:00:00.30 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.038
帧:80 内存:354.42M (峰值 354.42M) | 时间:00:00.30 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.039
帧:80 内存:354.52M (峰值 354.52M) | 时间:00:00.30 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.040
帧:80 内存:354.61M (峰值 354.61M) | 时间:00:00.30 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.041
帧:80 内存:354.70M (峰值 354.70M) | 时间:00:00.30 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.042
帧:80 内存:354.79M (峰值 354.79M) | 时间:00:00.30 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.043
帧:80 内存:354.88M (峰值 354.88M) | 时间:00:00.30 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.044
帧:80 内存:354.97M (峰值 354.97M) | 时间:00:00.30 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.045
帧:80 内存:355.06M (峰值 355.06M) | 时间:00:00.30 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.046
帧:80 内存:355.15M (峰值 355.15M) | 时间:00:00.30 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.047
帧:80 内存:355.25M (峰值 355.25M) | 时间:00:00.30 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.048
帧:80 内存:355.34M (峰值 355.34M) | 时间:00:00.30 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.049
帧:80 内存:355.43M (峰值 355.43M) | 时间:00:00.30 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.050
帧:80 内存:355.52M (峰值 355.52M) | 时间:00:00.30 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.051
帧:80 内存:355.61M (峰值 355.61M) | 时间:00:00.30 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.052
帧:80 内存:355.70M (峰值 355.70M) | 时间:00:00.30 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.053
帧:80 内存:355.79M (峰值 355.79M) | 时间:00:00.31 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.054
帧:80 内存:355.89M (峰值 355.89M) | 时间:00:00.31 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.055
帧:80 内存:355.98M (峰值 355.98M) | 时间:00:00.31 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.056
帧:80 内存:356.07M (峰值 356.07M) | 时间:00:00.31 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.057
帧:80 内存:356.16M (峰值 356.16M) | 时间:00:00.31 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.058
帧:80 内存:356.25M (峰值 356.25M) | 时间:00:00.31 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.059
帧:80 内存:356.34M (峰值 356.34M) | 时间:00:00.31 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.060
帧:80 内存:356.43M (峰值 356.43M) | 时间:00:00.31 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.061
帧:80 内存:356.52M (峰值 356.52M) | 时间:00:00.31 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.062
帧:80 内存:356.62M (峰值 356.62M) | 时间:00:00.31 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.063
帧:80 内存:356.71M (峰值 356.71M) | 时间:00:00.31 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.064
帧:80 内存:356.80M (峰值 356.80M) | 时间:00:00.31 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.065
帧:80 内存:356.89M (峰值 356.89M) | 时间:00:00.31 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.066
帧:80 内存:356.98M (峰值 356.98M) | 时间:00:00.31 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.067
帧:80 内存:357.07M (峰值 357.07M) | 时间:00:00.31 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.068
帧:80 内存:357.16M (峰值 357.16M) | 时间:00:00.31 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.069
帧:80 内存:357.25M (峰值 357.25M) | 时间:00:00.31 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.070
帧:80 内存:357.35M (峰值 357.35M) | 时间:00:00.31 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.071
帧:80 内存:357.44M (峰值 357.44M) | 时间:00:00.31 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.072
